1096, 165, 119
1221, 151, 186
1186, 16, 15
1282, 116, -45
1616, 278, 48
1616, 278, 48
1974, 262, 137
1901, 198, 75
1683, 94, -34
1544, 46, -109
1544, 46, -109
1500, 94, -94
1322, 112, -145
1132, 109, -173
991, 112, -143
840, 60, -190
681, 0, -208
681, 0, -208
622, 3, -207
573, 65, -166
439, 19, -154
447, 0, -123
447, 0, -123
559, 81, -61
518, 52, -102
411, -43, -128
378, 14, -197
378, 14, -197
-,-,-
969, 59, 157
969, 59, 157
973, 64, 239
1024, 71, 147
1078, 8, 141
1124, 57, 162
1124, 57, 162
1359, 174, 214
1634, 277, 400
1825, 223, 467
1797, 132, 424
1758, 111, 419
1656, 98, 363
1656, 98, 363
1606, 133, 267
1445, 162, 269
1309, 130, 230
1190, 98, 156
1049, 42, 72
1049, 42, 72
944, 109, 61
853, 113, 57
739, 44, 37
739, 44, 37
608, 45, -5
577, 60, 81
577, 60, 81
543, 41, 46
465, -11, 4
330, -46, -23
330, -46, -23
274, -92, -55
208, -85, -115
161, -63, -192
162, -27, -170
175, -35, -127
-,-,-
1081, 42, 196
1081, 42, 196
1013, 30, 201
893, 65, 145
932, 86, 130
1075, 83, 177
1075, 83, 177
1099, 36, 186
1058, -9, 83
1092, 64, 0
1296, 163, 67
1296, 163, 67
1643, 143, 165
1888, 125, 159
1953, 183, 100
1889, 154, 57
1790, 121, -26
1790, 121, -26
1632, 112, -91
1505, 88, -50
1377, 68, -80
1125, 24, -130
934, 57, -165
751, 90, -177
751, 90, -177
603, 96, -206
512, 72, -120
432, 63, -87
344, 24, -106
344, 24, -106
273, 13, -80
271, 64, -76
258, 29, -38
258, 29, -38
206, -8, -105
-,-,-
963, 124, 149
1042, 119, 176
1160, 81, 170
1291, 107, 168
1459, 125, 258
1648, 113, 404
1750, 159, 391
1750, 159, 391
1744, 110, 320
1646, 106, 251
1606, 152, 189
1586, 139, 243
1483, 158, 239
1353, 149, 203
1353, 149, 203
1277, 133, 136
1209, 131, 145
1032, 135, 101
883, 153, 4
694, 126, -18
694, 126, -18
675, 27, -11
599, 3, 0
491, 59, -101
491, 59, -101
370, 113, -171
181, 86, -210
55, -73, -254
53, -186, -288
121, -152, -301
133, -104, -284
133, -104, -284
96, -129, -234
181, -135, -166
240, -142, -116
298, -157, -121
402, -139, -127
461, -133, -151
476, -106, -123
593, -14, -96
703, 33, 3
703, 33, 3
729, 6, -1
703, 4, -97
703, 4, -97
756, -54, -84
802, -134, 31
876, -94, 27
876, -94, 27
926, 6, -86
1019, 98, -148
1164, -8, -5
-,-,-
997, 3, 207
1025, 16, 204
1007, 55, 207
1018, 44, 113
1154, -22, 122
1154, -22, 122
1269, 130, 269
1501, 235, 390
1630, 133, 332
1700, 80, 369
1694, 97, 417
1680, 123, 368
1680, 123, 368
1672, 170, 352
1599, 194, 359
1503, 177, 276
1348, 127, 200
1247, 80, 174
1192, 53, 194
1192, 53, 194
1066, 57, 173
905, 104, 80
769, 79, -20
666, 20, -18
666, 20, -18
565, 10, -43
446, 20, -109
429, 25, -135
429, 25, -135
284, -27, -78
91, -57, -156
